id,name,item_type,price,vat_rate,organization_id,org_unit_id,created_date,last_modified_date,created_by,last_modified_by,is_overridden,category_id
1118,"Halls 33,5g         ",K,0.75,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',39
1119,Nutella 350g        ,K,3.99,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',66
1120,K.Sleď.par.om.      ,K,1.19,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',13
1121,"K.Sleď fil v PO,200g",K,1.59,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',32
1122,Sardin.-par.o.125g  ,K,0.99,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',58
1123,Kaufland Card       ,Z,-0.4,20.0,2,62,2023-12-06 20:15:23,2023-12-07 00:54:28,7,system,b'\x00',39
1124,ZLT Niva syr 120g   ,K,1.19,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',20
1125,Kaufland Card       ,Z,-0.18,20.0,2,62,2023-12-06 20:15:23,2023-12-07 00:54:28,7,system,b'\x00',39
1126,ZLT zrej. Syr 110g  ,K,1.39,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',20
1127,Kaufland Card       ,Z,-0.2,20.0,2,62,2023-12-06 20:15:23,2023-12-07 00:54:28,7,system,b'\x00',39
1128,K-ZLTSm.nát.nat.200g,K,1.29,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',14
1129,"ZLT Mlieko 3,6% 1l  ",K,1.19,10.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',9
1130,Kaufland Card       ,Z,-0.36,10.0,2,62,2023-12-06 20:15:23,2023-12-07 00:54:28,7,system,b'\x00',39
1131,K.Maslo 250g        ,K,2.19,10.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',12
1132,Kráľ.stehná celé    ,K,5.489296636085626,10.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',16
1133,ZLT Kur.Dolné stehná,K,4.193548387096774,10.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',16
1134,Kaufland Card       ,Z,-0.51,10.0,2,62,2023-12-06 20:15:23,2023-12-07 00:54:28,7,system,b'\x00',39
1135,ZLT Kur.Dolné stehná,K,4.184397163120568,10.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',16
1136,Kaufland Card       ,Z,-0.44,10.0,2,62,2023-12-06 20:15:23,2023-12-07 00:54:28,7,system,b'\x00',39
1137,Kráľ.stehná celé    ,K,5.489614243323442,10.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',16
1138,K.Ryža guľatozrnn1kg,K,1.49,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',56
1139,Müsli s jahod.750g  ,K,2.99,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',65
1140,Babič. kvás.boch405g,K,1.69,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',41
1141,KBio. Mrkva 1kg     ,K,1.99,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',5
1142,"Zl.Baž.´73 0,5l     ",K,1.19,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',11
1143,Záloha Plechovka #  ,K,0.15,0.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',1
1144,Parad miniroma 250g ,K,1.79,10.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',5
1145,Hrozno tm.bezk. 500g,K,1.69,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',17
1146,Kaufland Card       ,Z,-0.1,20.0,2,62,2023-12-06 20:15:23,2023-12-07 00:54:28,7,system,b'\x00',39
1147,Citróny 500g        ,K,0.99,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',17
1148,NamexBieleLup.100g  ,K,1.59,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',2
1149,K.Snack solený 125g ,K,1.29,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',31
1150,"ZB rad. C-B-M 0,5l  ",K,0.99,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',11
1151,Kaufland Card       ,Z,-0.6,20.0,2,62,2023-12-06 20:15:23,2023-12-07 00:54:28,7,system,b'\x00',39
1152,"Krušovice10%0,5l    ",K,0.85,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',11
1153,"Šariš 12% zlatá 0,5l",K,0.69,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:24,7,system,b'\x00',4
1154,VA LEGO Kai Rapt.   ,K,3.99,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:25,7,system,b'\x00',53
1155,Zľava s kupónom     ,Z,-2.7,20.0,2,62,2023-12-06 20:15:23,2023-12-07 00:54:28,7,system,b'\x00',39
1156,VA LEGO Kvap.jaskyňa,K,3.99,20.0,2,62,2023-12-06 20:15:23,2023-12-06 20:15:25,7,system,b'\x00',53
1157,Zemiaky sladké      ,K,2.690124858115777,20.0,3,11,2023-12-06 20:16:03,2023-12-06 20:16:03,7,system,b'\x00',5
1158,Zľava Lidl Plus     ,Z,-2.11,20.0,3,11,2023-12-06 20:16:03,2023-12-07 00:54:28,7,system,b'\x00',49
1159,Kubík Baby a-b-r    ,K,0.75,20.0,3,11,2023-12-06 20:16:03,2023-12-06 20:16:03,7,system,b'\x00',47
1160,Tmavé hrozno bezj.  ,K,2.49,20.0,3,11,2023-12-06 20:16:03,2023-12-06 20:16:03,7,system,b'\x00',17
1161,Bref Pow. Aktiv     ,K,3.99,20.0,3,11,2023-12-06 20:16:03,2023-12-06 20:16:03,7,system,b'\x00',2
1162,Bref Power Aktiv    ,K,3.99,20.0,3,11,2023-12-06 20:16:03,2023-12-06 20:16:03,7,system,b'\x00',46
1163,Brokolica 500g      ,K,1.89,10.0,3,11,2023-12-06 20:16:03,2023-12-06 20:16:03,7,system,b'\x00',5
1164,Bio banány          ,K,1.991404011461318,20.0,3,11,2023-12-06 20:16:03,2023-12-06 20:16:03,7,system,b'\x00',17
1165,Vieden. párky Pure  ,K,2.29,20.0,3,11,2023-12-06 20:16:03,2023-12-06 20:16:03,7,system,b'\x00',33
1166,Taštička javorová   ,K,0.59,20.0,3,11,2023-12-06 20:16:03,2023-12-06 20:16:03,7,system,b'\x00',39
1167,Tvarohový slimák    ,K,0.69,20.0,3,11,2023-12-06 20:16:03,2024-02-23 11:27:20,7,system,b'\x00',20
1168,Čerstvé figy        ,K,0.35,20.0,3,11,2023-12-06 20:16:03,2023-12-06 20:16:03,7,system,b'\x00',32
1169,Biely jogurt 1kg    ,K,2.19,10.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',4
1170,Majonéza Prémium    ,K,2.49,20.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',13
1171,426118 De maska     ,K,1.49,20.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',62
1172,Dusená šunka Pure   ,K,1.19,20.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',33
1173,426117 Čelenka      ,K,1.99,20.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',32
1174,Paradajky slivkové  ,K,2.69,10.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',5
1175,Zemiaky             ,K,1.2906724511930583,10.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',5
1176,Banány              ,K,0.8831908831908832,20.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',17
1177,Teddy´s Hit solený  ,K,0.79,20.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',31
1178,Biele lupienky soľ  ,K,1.29,20.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',31
1179,391559 Darč.papier  ,K,1.19,20.0,3,10,2023-12-06 20:16:19,2023-12-06 20:16:20,7,system,b'\x00',45
1180,Toal. papier recy.  ,K,2.95,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:34,7,system,b'\x00',2
1181,Trubičky araš.krém  ,K,1.29,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:34,7,system,b'\x00',32
1182,"Kávenky, 50g        ",K,0.69,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:34,7,system,b'\x00',32
1183,Mandle mlieč. čok.  ,K,1.49,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:34,7,system,b'\x00',32
1184,Mandle v hor. čok.  ,K,1.49,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:34,7,system,b'\x00',32
1185,Venčeky žĺtkové     ,K,0.79,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',26
1186,Zemiak.snack slaný  ,K,1.19,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',31
1187,Ovoc.cukr.-multip.  ,K,0.35,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',32
1188,Piškóty les.jahody  ,K,0.99,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',32
1189,Teddy´s Hit solený  ,K,0.79,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',31
1190,Lies. or. v ml. č.  ,K,1.49,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',32
1191,Závin mak           ,K,1.89,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',39
1192,Závin tvaroh        ,K,1.89,20.0,3,11,2023-12-06 20:16:34,2024-04-26 06:50:19,7,7,b'\x01',39
1193,Tuniak sl.olej      ,K,1.79,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',58
1194,Parenica neúdená    ,K,1.19,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',20
1195,Čerst.droždie 42g   ,K,0.19,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',30
1196,Italia Mozarella    ,K,0.89,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',20
1197,Maslo               ,K,1.39,10.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',12
1198,Oravská slanina     ,K,9.916666666666666,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',42
1199,Farm.horné stehná   ,K,4.684431977559608,10.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',16
1200,Farm.dolné stehná   ,K,4.68497576736672,10.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',16
1201,Smotan. nát. prír.  ,K,1.15,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',14
1202,Gouda plátkový syr  ,K,0.99,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',20
1203,Uhorky šalátové     ,K,0.99,10.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',5
1204,Bio cuketa 500g     ,K,1.69,10.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',5
1205,Biele hrozno 500g   ,K,2.89,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',17
1206,Cibuľa              ,K,1.6887417218543046,10.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',5
1207,Cesnak              ,K,4.5,10.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',5
1208,Banány              ,K,1.2927756653992395,20.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',17
1209,Cherry pa.kríc.650  ,K,2.49,10.0,3,11,2023-12-06 20:16:34,2023-12-06 20:16:35,7,system,b'\x00',5
1210,"Solmucol gra 20x1,5g/100mg (sac.)",K,3.99,10.0,55,63,2023-12-06 20:16:44,2023-12-06 20:16:44,7,system,b'\x00',32
1211,Dr.Muller anginal s islands.lisajn. tbl 16,K,3.79,20.0,55,63,2023-12-06 20:16:44,2023-12-06 20:16:44,7,system,b'\x00',8
1212,"Dorithricin s príchuťou lesných plodov pas ord 0,5",K,8.89,10.0,55,63,2023-12-06 20:16:44,2023-12-06 20:16:44,7,system,b'\x00',8
1213,"LIVSANE Repíkovy caj 20x1,5 g (30 g)",K,2.39,20.0,55,63,2023-12-06 20:16:44,2023-12-06 20:16:44,7,system,b'\x00',52
1214,ORBIT SPEARM.DRAŽÉ  ,K,0.69,20.0,1,64,2023-12-06 20:16:55,2023-12-06 20:16:55,7,system,b'\x00',2
1215,PEČ.HAMBUR.6ks      ,K,2.79,20.0,1,64,2023-12-06 20:16:55,2023-12-06 20:16:55,7,system,b'\x00',60
1216,FRANCOVKA MODRA 1l,K,3.62,20.0,37,42,2023-12-06 20:17:02,2023-12-06 20:17:02,7,system,b'\x00',20
1217,"BR MAST 0,5KG",K,2.45,20.0,37,42,2023-12-06 20:17:02,2023-12-06 20:17:02,7,system,b'\x00',39
1218,PISKOTY OPAVIA 120g,K,1.3,20.0,37,42,2023-12-06 20:17:02,2023-12-06 20:17:02,7,system,b'\x00',32
1219,Ľadový šalát        ,K,1.09,10.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:08,7,system,b'\x00',5
1220,Zľava Lidl Plus     ,Z,-0.1,10.0,3,65,2023-12-06 20:17:08,2023-12-07 00:54:28,7,system,b'\x00',49
1221,Farfalle            ,K,1.49,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:08,7,system,b'\x00',43
1222,Panzani Torti       ,K,1.49,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:08,7,system,b'\x00',43
1223,Panzani Kolienka    ,K,1.49,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:08,7,system,b'\x00',43
1224,Parad.pretlak 500g  ,K,0.99,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:08,7,system,b'\x00',5
1225,Múka polohrubá 1kg  ,K,0.59,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:08,7,system,b'\x00',56
1226,Múka hladká 00 1kg  ,K,0.59,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:08,7,system,b'\x00',56
1227,Lavazza Crema Gus.  ,K,11.99,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:08,7,system,b'\x00',34
1228,Náhrob. kahanec L4  ,K,0.69,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:08,7,system,b'\x00',40
1229,Kečup jemný         ,K,1.59,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',13
1230,Sladká čili omáčka  ,K,2.49,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',13
1231,Zlatá kukurica      ,K,1.29,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',51
1232,Uhorky korenené     ,K,1.79,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',5
1233,Hellm. Majonéza     ,K,3.89,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',13
1234,Bio mlieko 4%       ,K,1.49,10.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',9
1235,Maslo               ,K,1.29,10.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',12
1236,Tvaroh hrudk.250g   ,K,1.19,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',20
1237,Vajcia voľný výbeh  ,K,3.19,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',24
1238,Mozzarella strúh.   ,K,1.99,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',20
1239,Strúhaný syr Eidam  ,K,1.99,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',20
1240,"Eidam 30%, 250g     ",K,1.85,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',20
1241,Zemiaky nesk.2kgB   ,K,2.69,10.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',5
1242,Paprika mix 500g    ,K,1.19,10.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',5
1243,Paradajky strapco.  ,K,3.3891752577319587,10.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',5
1244,Uhorky šalátové     ,K,0.79,10.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',5
1245,Med-mas. vianočka   ,K,2.59,20.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',39
1246,"Rožok bez ""E"" - DA  ",K,0.13,10.0,3,65,2023-12-06 20:17:08,2023-12-06 20:17:09,7,system,b'\x00',41
1247,"Bepanthen Baby 5260021 masť 100 g (11,30 [(~HEX:1B7410801B7412:~HEX)] s VK) (rep akcia mix dbp 10 %)",K,13.29,20.0,19,24,2023-12-06 20:17:16,2023-12-06 20:17:16,7,system,b'\x00',47
1248,INFLUVAC TETRA SUS IRU 10,K,0.0,10.0,19,24,2023-12-06 20:17:16,2023-12-06 20:17:16,7,system,b'\x00',8
1249,Teľacie plece b.k.  ,K,16.993243243243246,10.0,56,66,2023-12-06 20:17:38,2023-12-06 20:17:38,7,system,b'\x00',16
1250,Rezance široké 300g ,K,1.49,20.0,56,66,2023-12-06 20:17:38,2023-12-06 20:17:38,7,system,b'\x00',43
1251,Arizonky 60g        ,K,0.89,20.0,56,66,2023-12-06 20:17:38,2023-12-06 20:17:38,7,system,b'\x00',32
1252,"Pamätník A5 so zámkom, Little Princess",K,7.5,20.0,5,30,2023-12-06 20:17:53,2023-12-06 20:17:53,7,system,b'\x00',45
1253,Carioca Fixky PASTEL   8 ks,K,3.9,20.0,5,30,2023-12-06 20:17:53,2023-12-06 20:17:53,7,system,b'\x00',72
1254,"Nálepky glitrové  morské panny , 23 ks",K,3.71,20.0,5,30,2023-12-06 20:17:53,2023-12-06 20:17:53,7,system,b'\x00',31
1255,"Aihao Pero gumovateľné 0,5 mm, modrá náplň,  mačky , mix farieb",K,2.0,20.0,5,30,2023-12-06 20:17:53,2023-12-06 20:17:53,7,system,b'\x00',7
1256,Aihao Guma na gumovateľné pero,K,2.37,20.0,5,30,2023-12-06 20:17:53,2023-12-06 20:17:53,7,system,b'\x00',2
1257,"Darčeková taška veľkosť L, 521186",K,2.57,20.0,5,30,2023-12-06 20:18:02,2023-12-06 20:18:02,7,system,b'\x00',73
1258,"DIY mozaika, mix motívov",K,3.71,20.0,5,30,2023-12-06 20:18:02,2023-12-06 20:18:02,7,system,b'\x00',38
1259,"Nálepky  jednorožce , 26 ks",K,3.71,20.0,5,30,2023-12-06 20:18:02,2023-12-06 20:18:02,7,system,b'\x00',39
1260,KOMPRIMAT ZLOM 150g,K,1.17,20.0,37,42,2023-12-06 20:18:14,2023-12-06 20:18:14,7,system,b'\x00',8
1261,TYC KOKO  35g orion,K,0.64,20.0,37,42,2023-12-06 20:18:14,2023-12-06 20:18:14,7,system,b'\x00',32
1262,OCUFLASH INT OPH 1X10ML,K,3.59,10.0,57,67,2023-12-06 20:18:28,2023-12-06 20:18:28,7,system,b'\x00',35
1263,SOLMUCOL 200MG GRANULAT 20KS,K,5.29,10.0,58,68,2023-12-06 20:18:55,2023-12-06 20:18:55,7,system,b'\x00',2
1264,TS sm.jog.biely 375g,K,0.98,10.0,41,69,2023-12-06 20:19:27,2023-12-06 20:19:27,7,system,b'\x00',4
1265,"Karfiol, ks         ",K,2.49,10.0,41,69,2023-12-06 20:19:27,2023-12-06 20:19:27,7,system,b'\x00',5
1266,Tic Tac fruity 18g  ,K,0.82,20.0,41,69,2023-12-06 20:19:27,2023-12-06 20:19:27,7,system,b'\x00',2
1267,MILKA TENDER MLI.37g,K,0.63,20.0,41,69,2023-12-06 20:19:27,2023-12-06 20:19:27,7,system,b'\x00',9
1268,TS čučoriedky 125 g ,K,1.99,20.0,41,69,2023-12-06 20:19:27,2023-12-06 20:19:27,7,system,b'\x00',17
1269,Slivky              ,K,1.891054030115146,20.0,3,10,2023-12-06 20:19:35,2023-12-06 20:19:35,7,system,b'\x00',23
1270,Zľava Lidl Plus     ,Z,-1.58,20.0,3,10,2023-12-06 20:19:35,2023-12-07 00:54:28,7,system,b'\x00',49
1271,"Cibuľa žltá 1,5kg   ",K,2.49,10.0,3,10,2023-12-06 20:19:35,2023-12-06 20:19:35,7,system,b'\x00',5
1272,Paprika biela špi.  ,K,1.994818652849741,10.0,3,10,2023-12-06 20:19:35,2023-12-06 20:19:35,7,system,b'\x00',5
1273,Ploché broskyne     ,K,1.19,20.0,3,10,2023-12-06 20:19:35,2023-12-06 20:19:36,7,system,b'\x00',32
1274,Paradajky strapco.  ,K,1.9867549668874167,10.0,3,10,2023-12-06 20:19:35,2023-12-06 20:19:36,7,system,b'\x00',5
1275,Cherry par.datľové  ,K,1.89,10.0,3,10,2023-12-06 20:19:35,2023-12-06 20:19:36,7,system,b'\x00',5
1276,Paprika žltá        ,K,3.389830508474577,10.0,3,10,2023-12-06 20:19:35,2023-12-06 20:19:36,7,system,b'\x00',5
1277,Rímsky minišalát    ,K,1.39,10.0,3,10,2023-12-06 20:19:35,2023-12-06 20:19:36,7,system,b'\x00',20
1278,Kaiserka            ,K,0.14,20.0,3,10,2023-12-06 20:19:35,2023-12-06 20:19:36,7,system,b'\x00',41
1279,Kurkuma 40g bio ,K,2.5,20.0,54,61,2023-12-06 20:43:53,2023-12-06 20:44:06,7,system,b'\x00',70
1280,Samahan čaj na podporu imunity  4g,K,0.4,20.0,54,61,2023-12-06 20:43:53,2023-12-06 20:44:06,7,system,b'\x00',52
1281,Tiramisu 120g,K,6.9,10.0,59,70,2023-12-06 20:44:00,2023-12-06 20:44:06,7,system,b'\x00',2
1282,"Merlot rose Marina,Elesko 0,1l",K,3.3,10.0,59,70,2023-12-06 20:44:00,2023-12-06 20:44:06,7,system,b'\x00',21
1283,"Romerquelle sytena 0,33l fl",K,2.9,10.0,59,70,2023-12-06 20:44:00,2023-12-06 20:44:06,7,system,b'\x00',11
1284,"Palava,polosuche, Elesko 0,10l",K,3.5,10.0,59,70,2023-12-06 20:44:00,2023-12-06 20:44:06,7,system,b'\x00',19
1285,Dyňa červená        ,K,0.4895104895104896,20.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:13,7,system,b'\x00',5
1286,Zľava Lidl Plus     ,Z,-0.23,20.0,3,10,2023-12-07 06:23:57,2023-12-08 00:54:50,7,system,b'\x00',49
1287,Zemiaky sk. 2kg B   ,K,2.59,10.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:13,7,system,b'\x00',5
1288,Maslo               ,K,0.99,10.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',12
1289,"Treska v maj.,400g  ",K,2.49,20.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',29
1290,Čerst.droždie 42g   ,K,0.25,20.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',30
1291,Morčacia šunka      ,K,1.69,20.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',33
1292,Broskyne            ,K,2.7918781725888326,20.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',17
1293,Smotana 12%         ,K,0.72,20.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',15
1294,Kyslá smotana 14%   ,K,0.59,10.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',15
1295,Ploché broskyne     ,K,1.49,20.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',51
1296,Cher. parad.e.350g  ,K,1.19,10.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',5
1297,400238 De ponožky   ,K,1.99,20.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',25
1298,Paradajky strapco.  ,K,1.9915254237288136,10.0,3,10,2023-12-07 06:23:57,2023-12-07 06:24:14,7,system,b'\x00',5
1299,Donut Marshmallows  ,K,0.59,20.0,3,10,2023-12-07 06:23:57,2024-05-28 06:01:13,7,system,b'\x00',32
1300,ZLT Brav.Krkov.Plát ,K,7.988047808764939,10.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',16
1301,Kaufland Card       ,Z,-0.6,10.0,2,2,2023-12-07 06:24:10,2023-12-08 00:54:50,7,system,b'\x00',39
1302,ZLT Brav.Krkov.Plát ,K,7.980952380952381,10.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',16
1303,Kaufland Card       ,Z,-0.63,10.0,2,2,2023-12-07 06:24:10,2023-12-08 00:54:50,7,system,b'\x00',39
1304,"F&F.Brikety 2,5kg   ",K,3.49,20.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',2
1305,K.Maslo 250g        ,K,1.49,10.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',12
1306,Morč.mleté mäso500g ,K,2.19,10.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',16
1307,ZLT Vajcia voľn.10ks,K,3.19,20.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',24
1308,Kaufland Card       ,Z,-0.96,20.0,2,2,2023-12-07 06:24:10,2023-12-08 00:54:50,7,system,b'\x00',39
1309,K.Mäkký syr45%200g  ,K,1.99,20.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',20
1310,K.Biely jogurt500g  ,K,0.62,10.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',4
1311,Olmíci Jog.van 113g ,K,0.52,10.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',4
1312,Kostíci Jogurt 109g ,K,0.95,10.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',4
1313,Cesnak biely 200g   ,K,1.19,10.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',5
1314,ob. Dyňa červená    ,K,0.9905882352941175,20.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',5
1315,KLC Gramigna 500g   ,K,0.95,20.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',45
1316,Paradajky strapcové ,K,1.98581560283688,10.0,2,2,2023-12-07 06:24:10,2023-12-07 06:24:14,7,system,b'\x00',5
